time,voltage,rpm,direction
9.05,1.5,0,up
9.06,1.5,0,up
9.07,1.5,0,up
9.08,1.5,0,up
9.09,1.5,0,up
9.1,1.5,0,up
9.11,1.5,0,up
9.12,1.5,0,up
9.13,1.5,0,up
9.14,1.5,0,up
9.15,1.5,0,up
9.16,1.5,0,up
9.17,1.5,0,up
9.18,1.5,0,up
9.19,1.5,0,up
9.2,1.5,0,up
9.21,1.5,0,up
9.22,1.5,0,up
9.23,1.5,0,up
9.24,1.5,0,up
9.25,1.5,0,up
9.26,1.5,0,up
9.27,1.5,0,up
9.28,1.5,0,up
9.29,1.5,0,up
9.3,1.5,0,up
9.31,1.5,0,up
9.32,1.5,0,up
9.33,1.5,0,up
9.34,1.5,0,up
9.35,1.5,0,up
9.36,1.5,0,up
9.37,1.5,0,up
9.38,1.5,0,up
9.39,1.5,0,up
9.4,1.5,0,up
9.41,1.5,0,up
9.42,1.5,0,up
9.43,1.5,0,up
9.44,1.5,0,up
9.45,1.5,0,up
9.46,1.5,0,up
9.47,1.5,0,up
9.48,1.5,0,up
9.49,1.5,0,up
9.5,1.5,0,up
9.51,1.5,0,up
9.52,1.5,0,up
9.53,1.5,0,up
9.54,1.5,0,up
9.55,1.5,0,up
9.56,1.5,0,up
9.57,1.5,0,up
9.58,1.5,0,up
9.59,1.5,0,up
9.6,1.5,0,up
9.61,1.5,0,up
9.62,1.5,0,up
9.63,1.5,0,up
9.64,1.5,0,up
9.65,1.5,0,up
9.66,1.5,0,up
9.67,1.5,0,up
9.68,1.5,0,up
9.69,1.5,0,up
9.7,1.5,0,up
9.71,1.5,0,up
9.72,1.5,0,up
9.73,1.5,0,up
9.74,1.5,0,up
9.75,1.5,0,up
9.76,1.5,0,up
9.77,1.5,0,up
9.78,1.5,0,up
9.79,1.5,0,up
9.8,1.5,0,up
9.81,1.5,0,up
9.82,1.5,0,up
9.83,1.5,0,up
9.84,1.5,0,up
9.85,1.5,0,up
9.86,1.5,0,up
9.87,1.5,0,up
9.88,1.5,0,up
9.89,1.5,0,up
9.9,1.5,0,up
9.91,1.5,0,up
9.92,1.5,0,up
9.93,1.5,0,up
9.94,1.5,0,up
9.95,1.5,0,up
9.96,1.5,0,up
9.97,1.5,0,up
9.98,1.5,0,up
9.99,1.5,0,up
10,1.5,0,up
10.01,1.5,0,up
10.02,1.5,0,up
10.03,1.5,0,up
10.04,1.5,0,up
10.05,1.5,0,up
10.06,1.5,0,up
10.07,1.5,0,up
10.08,1.5,0,up
10.09,1.5,0,up
10.1,1.5,0,up
10.11,1.5,0,up
10.12,1.5,0,up
10.13,1.5,0,up
10.14,1.5,0,up
10.15,1.5,0,up
10.16,1.5,0,up
10.17,1.5,0,up
10.18,1.5,0,up
10.19,1.5,0,up
10.2,1.5,0,up
10.21,1.5,0,up
10.22,1.5,0,up
10.23,1.5,0,up
10.24,1.5,0,up
10.25,1.5,0,up
10.26,1.5,0,up
10.27,1.5,0,up
10.28,1.5,0,up
10.29,1.5,0,up
10.3,1.5,0,up
10.31,1.5,0,up
10.32,1.5,0,up
10.33,1.5,0,up
10.34,1.5,0,up
10.35,1.5,0,up
10.36,1.5,0,up
10.37,1.5,0,up
10.38,1.5,0,up
10.39,1.5,0,up
10.4,1.5,0,up
10.41,1.5,0,up
10.42,1.5,0,up
10.43,1.5,0,up
10.44,1.5,0,up
10.45,1.5,0,up
10.46,1.5,0,up
10.47,1.5,0,up
10.48,1.5,0,up
10.49,1.5,0,up
10.5,1.5,0,up
10.51,1.5,0,up
10.52,1.5,0,up
10.53,1.5,0,up
10.54,1.5,0,up
10.55,1.5,0,up
10.56,1.5,0,up
10.57,1.5,0,up
10.58,1.5,0,up
10.59,1.5,0,up
10.6,1.5,0,up
10.61,1.5,0,up
10.62,1.5,0,up
10.63,1.5,0,up
10.64,1.5,0,up
10.65,1.5,0,up
10.66,1.5,0,up
10.67,1.5,0,up
10.68,1.5,0,up
10.69,1.5,0,up
10.7,1.5,0,up
10.71,1.5,0,up
10.72,1.5,0,up
10.73,1.5,0,up
10.74,1.5,0,up
10.75,1.5,0,up
10.76,1.5,0,up
10.77,1.5,0,up
10.78,1.5,0,up
10.79,1.5,0,up
10.8,1.5,0,up
